maHuyet,tenViet
LU1,HUYỆT TRUNG PHỦ
LU2,HUYỆT VÂN MÔN
LU3,HUYỆT THIÊN PHỦ
LU4,HUYỆT HIỆP BẠCH
LU5,HUYỆT XÍCH TRẠCH
LU6,HUYỆT KHỔNG TỐI
LU7,HUYỆT LIỆT KHUYẾT
LU8,HUYỆT KINH CỪ/CỰ
LU9,HUYỆT THÁI UYÊN
LU10,HUYỆT NGƯ TẾ
LU11,HUYỆT THIẾU THƯƠNG
LI1,HUYỆT THƯƠNG DƯƠNG
LI2,HUYỆT NHỊ GIAN
LI3,HUYỆT TAM GIAN
LI4,HUYỆT HỢP CỐC
LI5,HUYỆT DƯƠNG KHÊ
LI6,HUYỆT THIÊN LỊCH
LI6,HUYỆT ÔN LƯU
LI8,HUYỆT HẠ LIÊM
LI9,HUYỆT THƯỢNG LIÊM
LI10,HUYỆT THỦ TAM LÝ
LI11,HUYỆT KHÚC TRÌ
LI12,HUYỆT TRỬU LIÊU
LI13,HUYỆT THỦ NGŨ LÝ
LI14,HUYỆT TÝ NHU
LI15,HUYỆT KIÊN NGUNG
LI16,HUYỆT CỰ CỐT
LI17,HUYỆT THIÊN ĐỈNH
LI18,HUYỆT PHÙ DỘT
LI19,HUYỆT KHẨU HOÀ LIÊU
LI20,HUYỆT NGHINH HƯƠNG
ST1,HUYỆT THỪA KHẤP
ST2,HUYỆT TỨ BẠCH
ST3,HUYỆT CỰ LIÊU
ST4,HUYỆT ĐỊA THƯƠNG
ST5,HUYỆT ĐẠI NGHINH
ST6,HUYỆT GIÁP XA
ST7,HUYỆT HẠ QUAN
ST8,HUYỆT ĐẦU DUY
ST9,HUYỆT NHÂN NGHINH
ST10,HUYỆT THUỶ ĐỘT
ST11,HUYỆT KHÍ XÁ
ST12,HUYỆT KHUYẾT BỒN
ST13,HUYỆT KHÍ HỘ
ST14,HUYỆT KHỐ PHÒNG
ST15,HUYỆT ỐC Ế
ST16,HUYỆT ƯNG SONG
ST17,HUYỆT NHŨ TRUNG
ST18,HUYỆT NHŨ CĂN
ST19,HUYỆT BẤT DUNG
ST20,HUYỆT THỪA MÃN
ST21,HUYỆT LƯƠNG MÔN
ST22,HUYỆT QUAN MÔN
ST23,HUYỆT THÁI ẤT
ST24,HUYỆT HOẠT NHỤC MÔN
ST25,HUYỆT THIÊN KHU
ST26,HUYỆT NGOẠI LĂNG
ST27,HUYỆT ĐẠI CỰ
ST28,HUYỆT THUỶ ĐẠO
ST29,HUYỆT QUY LAI
ST30,HUYỆT KHÍ XUNG
ST31,HUYỆT BỄ QUAN
ST32,HUYỆT PHỤC THỎ
ST33,HUYỆT ÂM THỊ
ST34,HUYỆT LƯƠNG KHÂU
ST35,HUYỆT ĐỘC TỊ
ST36,HUYỆT TÚC TAM LÝ
ST37,HUYỆT THƯỢNG CỰ HƯ
ST38,HUYỆT ĐIỀU KHẨU
ST39,HUYỆT HẠ CỰ HƯ
ST40,HUYỆT PHONG LONG
ST41,HUYỆT GIẢI KHÊ
ST42,HUYỆT XUNG DƯƠNG
ST43,HUYỆT HÃM CỐC
ST44,HUYỆT NỘI ĐÌNH
ST45,HUYỆT LỆ ĐOÀI
SP1,HUYỆT ẨN BẠCH
SP2,HUYỆT ĐẠI ĐÔ
SP3,HUYỆT THÁI BẠCH
SP4,HUYỆT CÔNG TÔN
SP5,HUYỆT THƯƠNG KHÂU
SP6,HUYỆT TAM ÂM GIAO
SP7,HUYỆT LẬU CỐC
SP8,HUYỆT ĐỊA CƠ
SP9,HUYỆT ÂM LĂNG TUYỀN
SP10,HUYỆT HUYẾT HẢI
SP11,HUYỆT CƠ MÔN
SP12,HUYỆT XUNG MÔN
SP13,HUYỆT PHỦ XÁ
SP14,HUYỆT PHÚC KẾT
SP15,HUYỆT ĐẠI HOÀNH
SP16,HUYỆT PHÚC AI
SP17,HUYỆT THỰC ĐẬU
SP18,HUYỆT THIÊN KHÊ
SP19,HUYỆT HUNG HƯƠNG
SP21,HUYỆT ĐẠI BAO
HT1,HUYỆT CỰC TUYỀN
HT2,HUYỆT THANH LINH
HT3,HUYỆT THIẾU HẢI
HT4,HUYỆT LINH ĐẠO
HT5,HUYỆT THÔNG LÝ
HT6,HUYỆT ÂM KHÍCH
HT7,HUYỆT THẦN MÔN
HT8,HUYỆT THIẾU PHỦ
HT9,HUYỆT THIẾU XUNG
SI1,HUYỆT THIẾU TRẠCH
SI2,HUYỆT TIỀN CỐC
SI3,HUYỆT HẬU KHÊ
SI4,HUYỆT UYỂN CỐT
SI5,HUYỆT DƯƠNG CỐC
SI6,HUYỆT DƯỠNG LÃO
SI7,HUYỆT CHI CHÍNH
SI8,HUYỆT TIỂU HẢI
SI9,HUYỆT KIÊN TRINH
SI10,HUYỆT NHU DU
